district,policy_name,reference_date,source_grade,source_type,source_url,target_summary,business_age_requirement,support_type,fund_use,amount_limit,interest_rate,repayment,application_period,cafe_relevance,verification_status,notes,rag_text
동대문구,2026년 하반기 동대문구 중소기업육성기금 융자,2026-07-28,A,구청 공식 구정소식/고시공고,https://www.ddm.go.kr/www/selectBbsNttView.do?bbsNo=38&key=198&nttNo=191733,"동대문구 사업장 소재 중소기업 및 소상공인, 사업자등록 6개월 경과",6개월 이상,융자,중소기업육성기금,첨부 HWPX 확인,첨부 HWPX 확인,첨부 HWPX 확인,2026-07-29 ~ 자금 소진 시,가능성 높음,공식 최신 공고 검증완료,공식 HWPX 첨부 존재. HWPX 텍스트 추출 기능 추가 시 원문 corpus로 활용.,"[지역] 동대문구
[정책명] 2026년 하반기 동대문구 중소기업육성기금 융자
[기준일] 2026-07-28
[지원대상] 동대문구 사업장 소재 중소기업 및 소상공인, 사업자등록 6개월 경과
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 중소기업육성기금
[지원한도] 첨부 HWPX 확인
[금리] 첨부 HWPX 확인
[상환조건] 첨부 HWPX 확인
[신청기간] 2026-07-29 ~ 자금 소진 시
[카페 적합성] 가능성 높음
[검증상태] 공식 최신 공고 검증완료
[주의사항] 공식 HWPX 첨부 존재. HWPX 텍스트 추출 기능 추가 시 원문 corpus로 활용.
[공식/확인 출처] https://www.ddm.go.kr/www/selectBbsNttView.do?bbsNo=38&key=198&nttNo=191733"
동작구,2026년 중소기업육성기금 융자지원,2026-03-13,A,구청 공식 공지,https://www.dongjak.go.kr/portal/bbs/B0000022/view.do?menuNo=200641&nttId=10743978&pageIndex=1,동작구 관내 사업장을 두고 3개월 이상 영업 중인 중소기업 및 소상공인,3개월 이상,융자,중소기업육성기금,첨부 공고문 확인,첨부 공고문 확인,첨부 공고문 확인,2026-03-16 ~ 2026-04-03,가능성 높음,공식 2026 공고 검증완료,공식 HWPX 첨부를 corpus로 확보 권장.,"[지역] 동작구
[정책명] 2026년 중소기업육성기금 융자지원
[기준일] 2026-03-13
[지원대상] 동작구 관내 사업장을 두고 3개월 이상 영업 중인 중소기업 및 소상공인
[업력요건] 3개월 이상
[지원유형] 융자
[자금용도] 중소기업육성기금
[지원한도] 첨부 공고문 확인
[금리] 첨부 공고문 확인
[상환조건] 첨부 공고문 확인
[신청기간] 2026-03-16 ~ 2026-04-03
[카페 적합성] 가능성 높음
[검증상태] 공식 2026 공고 검증완료
[주의사항] 공식 HWPX 첨부를 corpus로 확보 권장.
[공식/확인 출처] https://www.dongjak.go.kr/portal/bbs/B0000022/view.do?menuNo=200641&nttId=10743978&pageIndex=1"
마포구,2026년 하반기 중소기업육성기금 융자 추가모집,2026-08-20,B,국토교통 기업지원허브/기초자치단체 공고,https://hub.kaia.re.kr/organSupportHub.do/view?orgKind=ORG_KIND_2&rltdId=118728,공고일 기준 사업자등록 6개월 경과한 마포구 소재 중소기업 및 소상공인,6개월 이상,융자,"운전자금, 시설자금",첨부 공고문 확인,연 1.0% 고정,첨부 공고문 확인,2026-08-18 ~ 2026-08-26,가능성 높음,최신 공고 검증완료; 마포구 원공고 URL 추가 확보 권장,기업마당에도 동일 공고 존재. HWPX 첨부 수집 가능.,"[지역] 마포구
[정책명] 2026년 하반기 중소기업육성기금 융자 추가모집
[기준일] 2026-08-20
[지원대상] 공고일 기준 사업자등록 6개월 경과한 마포구 소재 중소기업 및 소상공인
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 운전자금, 시설자금
[지원한도] 첨부 공고문 확인
[금리] 연 1.0% 고정
[상환조건] 첨부 공고문 확인
[신청기간] 2026-08-18 ~ 2026-08-26
[카페 적합성] 가능성 높음
[검증상태] 최신 공고 검증완료; 마포구 원공고 URL 추가 확보 권장
[주의사항] 기업마당에도 동일 공고 존재. HWPX 첨부 수집 가능.
[공식/확인 출처] https://hub.kaia.re.kr/organSupportHub.do/view?orgKind=ORG_KIND_2&rltdId=118728"
서대문구,2026년도 중소기업육성기금 운용사업계획,2026-01-02,A,구청 공식 고시,https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=308086,서대문구 사업자등록 중소상공인; 융자사업은 6개월 이상 영업 중인 업체,6개월 이상,융자 + 특별보증,"운전자금, 기술개발자금, 시설자금","신용대출 3천만원, 담보대출 1억원; 특별보증 업체당 1억원",연 1.5% 고정,"1년 거치, 4년 균등상환",연 6회 홀수월; 자금 소진 시 마감,가능성 높음,공식 연간계획 검증완료,지역별 비교 RAG에 매우 적합. 특별보증까지 함께 제공.,"[지역] 서대문구
[정책명] 2026년도 중소기업육성기금 운용사업계획
[기준일] 2026-01-02
[지원대상] 서대문구 사업자등록 중소상공인; 융자사업은 6개월 이상 영업 중인 업체
[업력요건] 6개월 이상
[지원유형] 융자 + 특별보증
[자금용도] 운전자금, 기술개발자금, 시설자금
[지원한도] 신용대출 3천만원, 담보대출 1억원; 특별보증 업체당 1억원
[금리] 연 1.5% 고정
[상환조건] 1년 거치, 4년 균등상환
[신청기간] 연 6회 홀수월; 자금 소진 시 마감
[카페 적합성] 가능성 높음
[검증상태] 공식 연간계획 검증완료
[주의사항] 지역별 비교 RAG에 매우 적합. 특별보증까지 함께 제공.
[공식/확인 출처] https://www.sdm.go.kr/news/notice/notice.do?mode=view&sdmBoardSeq=308086"
서초구,2026년 서초구 중소기업육성기금 융자지원,2026-04-23,A,구청 공식 공지/고시공고,https://www.seocho.go.kr/site/seocho/ex/bbs/View.do?bcIdx=408773&cbIdx=57,서초구에 주사무소(본점)를 둔 중소기업 또는 공장등록 제조업체,별도 업력 명시 없음; 공고문 확인,융자,"시설자금, 운전자금, 기술개발자금",업체당 5천만원 이내,연 0.8%(2026-12-31까지),1년 거치 4년 또는 2년 거치 3년 균등분할상환,2026-01-20 ~ 자금 소진 시,확인 필요,공식 2026 공고 검증완료,대상 표현이 '중소기업/제조업체' 중심. 카페 소상공인의 실제 신청 가능 여부와 제한업종을 반드시 확인한 뒤 RAG 노출.,"[지역] 서초구
[정책명] 2026년 서초구 중소기업육성기금 융자지원
[기준일] 2026-04-23
[지원대상] 서초구에 주사무소(본점)를 둔 중소기업 또는 공장등록 제조업체
[업력요건] 별도 업력 명시 없음; 공고문 확인
[지원유형] 융자
[자금용도] 시설자금, 운전자금, 기술개발자금
[지원한도] 업체당 5천만원 이내
[금리] 연 0.8%(2026-12-31까지)
[상환조건] 1년 거치 4년 또는 2년 거치 3년 균등분할상환
[신청기간] 2026-01-20 ~ 자금 소진 시
[카페 적합성] 확인 필요
[검증상태] 공식 2026 공고 검증완료
[주의사항] 대상 표현이 '중소기업/제조업체' 중심. 카페 소상공인의 실제 신청 가능 여부와 제한업종을 반드시 확인한 뒤 RAG 노출.
[공식/확인 출처] https://www.seocho.go.kr/site/seocho/ex/bbs/View.do?bcIdx=408773&cbIdx=57"
성동구,2026년 하반기 성동구 중소기업육성기금 융자지원,2026-08-19,A,구청 공식 최신 공고,https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&integrDeptCode=30301030000&key=3653&nttNo=360665&nttShowPd=36&pageIndex=1&pageUnit=10,"성동구 사업장 소재 중소기업 및 소상공인, 사업자등록 6개월 경과",6개월 이상,구자금 융자 + 은행협력자금 이자지원,"경영안정자금(시설, 운전, 기술개발)","중소기업 2억원, 소상공인 1억원(일부 진흥지구 소상공인 2억원)",구자금 연 1.5%; 은행협력자금 시중금리의 1% 이자지원,"1년 거치, 3년 균등분할상환",2026-08-24 ~ 2026-09-10,가능성 높음,공식 최신 공고 검증완료,후보지별 금융환경 비교에 매우 유용.,"[지역] 성동구
[정책명] 2026년 하반기 성동구 중소기업육성기금 융자지원
[기준일] 2026-08-19
[지원대상] 성동구 사업장 소재 중소기업 및 소상공인, 사업자등록 6개월 경과
[업력요건] 6개월 이상
[지원유형] 구자금 융자 + 은행협력자금 이자지원
[자금용도] 경영안정자금(시설, 운전, 기술개발)
[지원한도] 중소기업 2억원, 소상공인 1억원(일부 진흥지구 소상공인 2억원)
[금리] 구자금 연 1.5%; 은행협력자금 시중금리의 1% 이자지원
[상환조건] 1년 거치, 3년 균등분할상환
[신청기간] 2026-08-24 ~ 2026-09-10
[카페 적합성] 가능성 높음
[검증상태] 공식 최신 공고 검증완료
[주의사항] 후보지별 금융환경 비교에 매우 유용.
[공식/확인 출처] https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&integrDeptCode=30301030000&key=3653&nttNo=360665&nttShowPd=36&pageIndex=1&pageUnit=10"
성북구,2026년 하반기 성북구 중소기업육성기금 융자지원,2026-08-20,B,국토교통 기업지원허브/기초자치단체 공고,https://hub.kaia.re.kr/organSupportHub.do/view?orgKind=ORG_KIND_2&rltdId=118632,성북구 사업자등록 후 3개월 이상 중소기업 및 소상공인,3개월 이상,융자,"운영자금(경영안정·운전), 설비자금(시설·기술개발)",첨부 공고문 확인,연 1.2%,첨부 공고문 확인,2026-08-18 ~ 2026-09-04,가능성 높음,최신 공고 검증완료; 성북구 원공고 상세 URL 추가 확보 권장,서울신용보증재단 보증서 가능 업체 포함.,"[지역] 성북구
[정책명] 2026년 하반기 성북구 중소기업육성기금 융자지원
[기준일] 2026-08-20
[지원대상] 성북구 사업자등록 후 3개월 이상 중소기업 및 소상공인
[업력요건] 3개월 이상
[지원유형] 융자
[자금용도] 운영자금(경영안정·운전), 설비자금(시설·기술개발)
[지원한도] 첨부 공고문 확인
[금리] 연 1.2%
[상환조건] 첨부 공고문 확인
[신청기간] 2026-08-18 ~ 2026-09-04
[카페 적합성] 가능성 높음
[검증상태] 최신 공고 검증완료; 성북구 원공고 상세 URL 추가 확보 권장
[주의사항] 서울신용보증재단 보증서 가능 업체 포함.
[공식/확인 출처] https://hub.kaia.re.kr/organSupportHub.do/view?orgKind=ORG_KIND_2&rltdId=118632"
송파구,2026년 송파구 중소기업 융자지원(육성기금/협력자금),2026-06-30,A,구청 공식 지원안내,https://www.songpa.go.kr/www/contents.do?key=2802,공식 상시 안내는 관내 중소기업 및 소상공인 금융지원이라고 설명; 2026 협력자금 공고는 사업자등록 6개월 이상 중소기업 영위자 중심,6개월 이상,융자 + 특별신용보증,운전자금/시설자금 등 세부 공고별 상이,2026 육성기금 최대 2억원 수준 공고 존재; 세부 자금유형별 확인,육성기금 연 1.5% 고정,세부 자금유형별 공고 확인,공고일 ~ 자금 소진 시,확인 필요,공식 2026 지원제도 존재 확인; 업종제외 규정 확인 필요,카페/음식점업이 제한업종에 해당하는지 최신 공고 첨부로 반드시 확인 후 추천.,"[지역] 송파구
[정책명] 2026년 송파구 중소기업 융자지원(육성기금/협력자금)
[기준일] 2026-06-30
[지원대상] 공식 상시 안내는 관내 중소기업 및 소상공인 금융지원이라고 설명; 2026 협력자금 공고는 사업자등록 6개월 이상 중소기업 영위자 중심
[업력요건] 6개월 이상
[지원유형] 융자 + 특별신용보증
[자금용도] 운전자금/시설자금 등 세부 공고별 상이
[지원한도] 2026 육성기금 최대 2억원 수준 공고 존재; 세부 자금유형별 확인
[금리] 육성기금 연 1.5% 고정
[상환조건] 세부 자금유형별 공고 확인
[신청기간] 공고일 ~ 자금 소진 시
[카페 적합성] 확인 필요
[검증상태] 공식 2026 지원제도 존재 확인; 업종제외 규정 확인 필요
[주의사항] 카페/음식점업이 제한업종에 해당하는지 최신 공고 첨부로 반드시 확인 후 추천.
[공식/확인 출처] https://www.songpa.go.kr/www/contents.do?key=2802"
양천구,2026년 하반기 중소기업육성기금 융자지원,2026-08-20,B,양천구상공회 공지(양천구청 사업),https://yangcheon-gu.seoulcci.korcham.net/Service/Gu/Main/appl/Main.asp,"양천구 사업장 소재 중소기업 및 소상공인, 공고일 기준 사업자등록 6개월 경과",6개월 이상,융자,"시설자금, 운전자금, 기술개발자금, 업종전환자금",제조업 3억원; 도·소매 및 기타업종 8천만원,연 0.8%(2026년 말까지 안내),"2년 거치, 3년 균등분할상환",2026 하반기 공고,확인 필요,최신 사업 확인; 양천구청 원공고 URL/제외업종 추가확인 권장,일반 카페가 '기타업종'으로 허용되는지 제한업종 표를 확인한 뒤 추천.,"[지역] 양천구
[정책명] 2026년 하반기 중소기업육성기금 융자지원
[기준일] 2026-08-20
[지원대상] 양천구 사업장 소재 중소기업 및 소상공인, 공고일 기준 사업자등록 6개월 경과
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 시설자금, 운전자금, 기술개발자금, 업종전환자금
[지원한도] 제조업 3억원; 도·소매 및 기타업종 8천만원
[금리] 연 0.8%(2026년 말까지 안내)
[상환조건] 2년 거치, 3년 균등분할상환
[신청기간] 2026 하반기 공고
[카페 적합성] 확인 필요
[검증상태] 최신 사업 확인; 양천구청 원공고 URL/제외업종 추가확인 권장
[주의사항] 일반 카페가 '기타업종'으로 허용되는지 제한업종 표를 확인한 뒤 추천.
[공식/확인 출처] https://yangcheon-gu.seoulcci.korcham.net/Service/Gu/Main/appl/Main.asp"
영등포구,2026년 1차 중소기업육성기금 융자지원,2026-02-02,B,기업마당 공식 지원사업 공고,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118100,영등포구 소재 중소기업 및 소상공인,세부 공고문 확인,융자,"운전자금, 시설자금, 기술개발자금",일반자금 2억원; 소상공인 지원자금 5천만원,연 1.5%,"1년 거치, 4년 균등분할상환",2026-01-26 ~ 2026-02-11,가능성 높음,기업마당 2026 공고 검증완료; 구청 원문 추가 확보 권장,2026년 연간 총 70억원 규모 추진 보도자료도 확인됨.,"[지역] 영등포구
[정책명] 2026년 1차 중소기업육성기금 융자지원
[기준일] 2026-02-02
[지원대상] 영등포구 소재 중소기업 및 소상공인
[업력요건] 세부 공고문 확인
[지원유형] 융자
[자금용도] 운전자금, 시설자금, 기술개발자금
[지원한도] 일반자금 2억원; 소상공인 지원자금 5천만원
[금리] 연 1.5%
[상환조건] 1년 거치, 4년 균등분할상환
[신청기간] 2026-01-26 ~ 2026-02-11
[카페 적합성] 가능성 높음
[검증상태] 기업마당 2026 공고 검증완료; 구청 원문 추가 확보 권장
[주의사항] 2026년 연간 총 70억원 규모 추진 보도자료도 확인됨.
[공식/확인 출처] https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118100"
용산구,2026년 상반기 중소기업육성기금 2차 융자지원,2026-05-12,C,연합뉴스(용산구 제공 자료 기반),https://www.yna.co.kr/view/AKR20260512013500004,용산구 사업장 소재 중소기업 및 소상공인,공식 원공고 확인 필요,융자,중소기업육성기금,"중소기업 3억원, 소상공인 1억원",연 1.5%,"2년 거치, 3년 균등분할상환",2차부터 자금 소진 시까지 상시 신청 방식,가능성 높음,2026 사업·조건 확인; 구청 공식 원공고 확보 후 Vector DB 투입 권장,공식 원문 URL 확보 전에는 검색결과에 '공식 원공고 확인 필요' 표시.,"[지역] 용산구
[정책명] 2026년 상반기 중소기업육성기금 2차 융자지원
[기준일] 2026-05-12
[지원대상] 용산구 사업장 소재 중소기업 및 소상공인
[업력요건] 공식 원공고 확인 필요
[지원유형] 융자
[자금용도] 중소기업육성기금
[지원한도] 중소기업 3억원, 소상공인 1억원
[금리] 연 1.5%
[상환조건] 2년 거치, 3년 균등분할상환
[신청기간] 2차부터 자금 소진 시까지 상시 신청 방식
[카페 적합성] 가능성 높음
[검증상태] 2026 사업·조건 확인; 구청 공식 원공고 확보 후 Vector DB 투입 권장
[주의사항] 공식 원문 URL 확보 전에는 검색결과에 '공식 원공고 확인 필요' 표시.
[공식/확인 출처] https://www.yna.co.kr/view/AKR20260512013500004"
은평구,2026년 3분기 중소기업육성기금 융자지원,2026-06-22,C,연합뉴스(은평구 제공 자료 기반),https://www.yna.co.kr/view/AKR20260622042500004,은평구 사업자등록 후 6개월 이상 영업한 중소기업 및 소상공인,6개월 이상,융자,중소기업육성기금,"중소기업 2억원, 소상공인 7천만원, 음식점업 5천만원",연 1.5%,공식 원공고 확인,2026-07-06 ~ 2026-07-16,높음,2026 조건 확인; 은평구청 공식 원공고 URL 추가 확보 권장,음식점업 별도 한도가 명시되어 카페 타깃과 특히 관련성이 높음.,"[지역] 은평구
[정책명] 2026년 3분기 중소기업육성기금 융자지원
[기준일] 2026-06-22
[지원대상] 은평구 사업자등록 후 6개월 이상 영업한 중소기업 및 소상공인
[업력요건] 6개월 이상
[지원유형] 융자
[자금용도] 중소기업육성기금
[지원한도] 중소기업 2억원, 소상공인 7천만원, 음식점업 5천만원
[금리] 연 1.5%
[상환조건] 공식 원공고 확인
[신청기간] 2026-07-06 ~ 2026-07-16
[카페 적합성] 높음
[검증상태] 2026 조건 확인; 은평구청 공식 원공고 URL 추가 확보 권장
[주의사항] 음식점업 별도 한도가 명시되어 카페 타깃과 특히 관련성이 높음.
[공식/확인 출처] https://www.yna.co.kr/view/AKR20260622042500004"
종로구,2026년 하반기 중소기업육성기금 융자지원,2026-07-24,A,종로구 공식 소상공인 지원 포털,https://market.jongno.go.kr/support/support_jongno,종로구 소기업 및 소상공인 포함,세부 하반기 공고 확인,융자,중소기업육성기금,상반기 기준 업체당 5천만원 이내; 하반기 세부공고 확인,하반기 세부공고 확인,하반기 세부공고 확인,2026-07-13 ~ 2026-07-31(하반기),가능성 높음,공식 2026 하반기 사업 존재 검증완료,종로구는 자체 지원사업 포털이 있어 자동 수집 후보로 가장 좋음.,"[지역] 종로구
[정책명] 2026년 하반기 중소기업육성기금 융자지원
[기준일] 2026-07-24
[지원대상] 종로구 소기업 및 소상공인 포함
[업력요건] 세부 하반기 공고 확인
[지원유형] 융자
[자금용도] 중소기업육성기금
[지원한도] 상반기 기준 업체당 5천만원 이내; 하반기 세부공고 확인
[금리] 하반기 세부공고 확인
[상환조건] 하반기 세부공고 확인
[신청기간] 2026-07-13 ~ 2026-07-31(하반기)
[카페 적합성] 가능성 높음
[검증상태] 공식 2026 하반기 사업 존재 검증완료
[주의사항] 종로구는 자체 지원사업 포털이 있어 자동 수집 후보로 가장 좋음.
[공식/확인 출처] https://market.jongno.go.kr/support/support_jongno"
중구,2026년 3분기 중소기업육성기금 융자지원,2026-06-24,A,중구청 공식 보도자료/공고,https://www.junggu.seoul.kr/content.do?cid=1456352788&cmsid=14390&mode=view,중구 내 소기업 및 소상공인,기존 2분기 기준 사업자등록 6개월 이상,융자,"운전자금, 시설자금, 기술자금","일반 업체 최대 5천만원, 제조업체 최대 1억원",연 1.5% 고정,5년 균등분할 상환(3분기 안내),2026-07-06 ~ 2026-07-15,가능성 높음,공식 2026 최신 분기 자료 검증완료,지원제외업종 공고 첨부를 함께 저장해 카페 업종 적합성을 검증할 것.,"[지역] 중구
[정책명] 2026년 3분기 중소기업육성기금 융자지원
[기준일] 2026-06-24
[지원대상] 중구 내 소기업 및 소상공인
[업력요건] 기존 2분기 기준 사업자등록 6개월 이상
[지원유형] 융자
[자금용도] 운전자금, 시설자금, 기술자금
[지원한도] 일반 업체 최대 5천만원, 제조업체 최대 1억원
[금리] 연 1.5% 고정
[상환조건] 5년 균등분할 상환(3분기 안내)
[신청기간] 2026-07-06 ~ 2026-07-15
[카페 적합성] 가능성 높음
[검증상태] 공식 2026 최신 분기 자료 검증완료
[주의사항] 지원제외업종 공고 첨부를 함께 저장해 카페 업종 적합성을 검증할 것.
[공식/확인 출처] https://www.junggu.seoul.kr/content.do?cid=1456352788&cmsid=14390&mode=view"
중랑구,2026년 중소기업육성기금 융자사업,2026-02-20,A,중랑구 공식 페이지(공식 URL 확인),https://www.jungnang.go.kr/portal/bbs/view/B0000117/164473.do?menuNo=200475&pageIndex=2,중랑구 사업장을 두고 3개월 이상 영업 중인 중소기업 및 소상공인,3개월 이상,융자,운전자금,업체당 최대 5천만원(3천만원 이하 소액 우선 고려),연 1.5%,"2년 거치, 3년 균등분할상환",2026-02-23 ~ 2026-03-13,가능성 높음,2026 공식 URL/구정자료 교차확인,시설·설비자금 사용 불가 안내가 있어 이전비 중 어떤 항목에 쓸 수 있는지 주의.,"[지역] 중랑구
[정책명] 2026년 중소기업육성기금 융자사업
[기준일] 2026-02-20
[지원대상] 중랑구 사업장을 두고 3개월 이상 영업 중인 중소기업 및 소상공인
[업력요건] 3개월 이상
[지원유형] 융자
[자금용도] 운전자금
[지원한도] 업체당 최대 5천만원(3천만원 이하 소액 우선 고려)
[금리] 연 1.5%
[상환조건] 2년 거치, 3년 균등분할상환
[신청기간] 2026-02-23 ~ 2026-03-13
[카페 적합성] 가능성 높음
[검증상태] 2026 공식 URL/구정자료 교차확인
[주의사항] 시설·설비자금 사용 불가 안내가 있어 이전비 중 어떤 항목에 쓸 수 있는지 주의.
[공식/확인 출처] https://www.jungnang.go.kr/portal/bbs/view/B0000117/164473.do?menuNo=200475&pageIndex=2"
